date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:09:55	1454/1454	---M--	200	added ('OK')	image/png	etag:%225ae-638dab02673d6%22	https://themesdesign.in/nazox/layouts/assets/images/brands/github.png	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/assets/images/brands/github.png	(from https://themesdesign.in/nazox/layouts/index.html)
18:09:55	701/701	---M--	200	added ('OK')	image/png	etag:%222bd-638dab02673d6%22	https://themesdesign.in/nazox/layouts/assets/images/brands/bitbucket.png	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/assets/images/brands/bitbucket.png	(from https://themesdesign.in/nazox/layouts/index.html)
18:09:55	911/911	---M--	200	added ('OK')	image/png	etag:%2238f-638dab02673d6%22	https://themesdesign.in/nazox/layouts/assets/images/brands/dribbble.png	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/assets/images/brands/dribbble.png	(from https://themesdesign.in/nazox/layouts/index.html)
18:09:55	772/772	---M--	200	added ('OK')	image/png	etag:%22304-638dab02673d6%22	https://themesdesign.in/nazox/layouts/assets/images/brands/dropbox.png	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/assets/images/brands/dropbox.png	(from https://themesdesign.in/nazox/layouts/index.html)
18:09:56	1428/1428	---M--	200	added ('OK')	image/png	etag:%22594-638dab02673d6%22	https://themesdesign.in/nazox/layouts/assets/images/brands/mail_chimp.png	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/assets/images/brands/mail_chimp.png	(from https://themesdesign.in/nazox/layouts/index.html)
18:09:56	1477/1477	---M--	200	added ('OK')	image/png	etag:%225c5-638dab02673d6%22	https://themesdesign.in/nazox/layouts/assets/images/brands/slack.png	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/assets/images/brands/slack.png	(from https://themesdesign.in/nazox/layouts/index.html)
18:09:56	18274/18274	---M--	200	added ('OK')	image/jpeg	etag:%224762-638dab0272f57%22	https://themesdesign.in/nazox/layouts/assets/images/users/avatar-3.jpg	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/assets/images/users/avatar-3.jpg	(from https://themesdesign.in/nazox/layouts/index.html)
18:09:57	13993/13993	---M--	200	added ('OK')	image/jpeg	etag:%2236a9-638dab0272f57%22	https://themesdesign.in/nazox/layouts/assets/images/users/avatar-4.jpg	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/assets/images/users/avatar-4.jpg	(from https://themesdesign.in/nazox/layouts/index.html)
18:09:57	10370/10370	---M--	200	added ('OK')	image/jpeg	etag:%222882-638dab0272f57%22	https://themesdesign.in/nazox/layouts/assets/images/users/avatar-2.jpg	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/assets/images/users/avatar-2.jpg	(from https://themesdesign.in/nazox/layouts/index.html)
18:09:57	56342/56342	---M-Z	200	added ('OK')	text/html	etag:%22dc16-638dab02c01bb-gzip%22	https://themesdesign.in/nazox/layouts/calendar.html	F:/Saurbhshinde/SaurabhShinde/themesdesign.in/nazox/layouts/calendar.html	(from https://themesdesign.in/nazox/layouts/index.html)
